County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,12/7/2020,12,13,454
Hawaii,12/8/2020,23,20,948
Hawaii,12/9/2020,3,5,758
Hawaii,12/10/2020,17,17,924
Hawaii,12/11/2020,10,9,611
Hawaii,12/12/2020,16,20,870
Hawaii,12/13/2020,10,11,502
Hawaii,12/14/2020,5,7,395
Hawaii,12/15/2020,15,14,979
Hawaii,12/16/2020,7,8,604
Hawaii,12/17/2020,21,21,1005
Hawaii,12/18/2020,13,14,1001
Hawaii,12/19/2020,13,15,615
Hawaii,12/20/2020,6,7,502
Hawaii,12/21/2020,12,15,391
Hawaii,12/22/2020,13,11,821
Hawaii,12/23/2020,8,7,644
Hawaii,12/24/2020,4,5,823
Hawaii,12/25/2020,3,3,274
Hawaii,12/26/2020,2,4,307
Hawaii,12/27/2020,7,8,533
Hawaii,12/28/2020,2,2,337
Hawaii,12/29/2020,14,10,724
Hawaii,12/30/2020,13,18,497
Hawaii,12/31/2020,20,20,1034
Hawaii,1/1/2021,2,4,277
Hawaii,1/2/2021,4,8,362
Hawaii,1/3/2021,12,12,609
Hawaii,1/4/2021,8,9,413
Hawaii,1/5/2021,18,18,939
Hawaii,1/6/2021,10,11,856
Hawaii,1/7/2021,20,22,910
Hawaii,1/8/2021,12,14,670
Hawaii,1/9/2021,20,20,695
Hawaii,1/10/2021,4,4,384
Hawaii,1/11/2021,7,8,553
Hawaii,1/12/2021,13,16,787
Hawaii,1/13/2021,5,5,807
Hawaii,1/14/2021,12,13,1035
Hawaii,1/15/2021,7,11,581
Hawaii,1/16/2021,9,8,566
Hawaii,1/17/2021,6,6,476
Hawaii,1/18/2021,4,4,439
Hawaii,1/19/2021,15,15,565
Hawaii,1/20/2021,5,5,983
Hawaii,1/21/2021,4,5,812
Hawaii,1/22/2021,6,3,551
Hawaii,1/23/2021,6,7,670
Hawaii,1/24/2021,1,1,382
Hawaii,1/25/2021,3,3,525
Hawaii,1/26/2021,6,12,679
Hawaii,1/27/2021,6,3,567
Hawaii,1/28/2021,9,9,885
Hawaii,1/29/2021,10,10,559
Hawaii,1/30/2021,7,5,643
Hawaii,1/31/2021,4,7,376
Hawaii,2/1/2021,4,7,400
Hawaii,2/2/2021,6,6,883
Hawaii,2/3/2021,1,1,743
Hawaii,2/4/2021,1,1,692
Hawaii,2/5/2021,7,7,561
Hawaii,2/6/2021,3,4,488
Honolulu,2/15/2020,0,0,1
Honolulu,2/28/2020,0,0,0
Honolulu,3/2/2020,0,0,1
Honolulu,3/3/2020,0,0,2
Honolulu,3/5/2020,1,0,0
Honolulu,3/6/2020,0,1,2
Honolulu,3/7/2020,0,0,2
Honolulu,3/8/2020,1,1,1
Honolulu,3/9/2020,0,0,1
Honolulu,3/10/2020,0,0,0
Honolulu,3/11/2020,0,0,4
Honolulu,3/12/2020,0,0,3
Honolulu,3/13/2020,0,0,24
Honolulu,3/14/2020,2,2,103
Honolulu,3/15/2020,2,2,58
Honolulu,3/16/2020,1,1,106
Honolulu,3/17/2020,3,2,110
Honolulu,3/18/2020,4,5,313
Honolulu,3/19/2020,16,14,349
Honolulu,3/20/2020,6,5,511
Honolulu,3/21/2020,8,5,290
Honolulu,3/22/2020,16,11,333
Honolulu,3/23/2020,12,14,335
Honolulu,3/24/2020,7,6,247
Honolulu,3/25/2020,15,11,373
Honolulu,3/26/2020,13,10,448
Honolulu,3/27/2020,23,18,576
Honolulu,3/28/2020,17,17,609
Honolulu,3/29/2020,25,22,482
Honolulu,3/30/2020,20,17,359
Honolulu,3/31/2020,27,26,957
Honolulu,4/1/2020,25,22,582
Honolulu,4/2/2020,28,18,554
Honolulu,4/3/2020,18,12,433
Honolulu,4/4/2020,9,8,233
Honolulu,4/5/2020,12,14,450
Honolulu,4/6/2020,16,18,599
Honolulu,4/7/2020,11,18,562
Honolulu,4/8/2020,7,6,415
Honolulu,4/9/2020,4,4,406
Honolulu,4/10/2020,5,5,467
Honolulu,4/11/2020,3,3,384
Honolulu,4/12/2020,1,1,292
Honolulu,4/13/2020,4,2,193
Honolulu,4/14/2020,9,12,219
Honolulu,4/15/2020,6,5,566
Honolulu,4/16/2020,4,5,310
Honolulu,4/17/2020,1,1,305
Honolulu,4/18/2020,3,2,346
Honolulu,4/19/2020,0,0,263
Honolulu,4/20/2020,0,0,347
Honolulu,4/21/2020,2,6,321
Honolulu,4/22/2020,2,3,366
Honolulu,4/23/2020,1,1,317
Honolulu,4/24/2020,2,2,300
Honolulu,4/25/2020,1,2,340
Honolulu,4/26/2020,0,0,176
Honolulu,4/27/2020,0,3,231
Honolulu,4/28/2020,3,4,538
Honolulu,4/29/2020,0,0,408
Honolulu,4/30/2020,1,5,406
Honolulu,5/1/2020,0,0,349
Honolulu,5/2/2020,1,1,208
Honolulu,5/3/2020,0,0,261
Honolulu,5/4/2020,3,4,523
Honolulu,5/5/2020,1,1,374
Honolulu,5/6/2020,2,2,422
Honolulu,5/7/2020,0,1,315
Honolulu,5/8/2020,1,1,350
Honolulu,5/9/2020,1,1,367
Honolulu,5/10/2020,2,2,212
Honolulu,5/11/2020,1,2,491
Honolulu,5/12/2020,3,2,517
Honolulu,5/13/2020,0,0,533
Honolulu,5/14/2020,0,0,407
Honolulu,5/15/2020,1,1,470
Honolulu,5/16/2020,0,1,416
Honolulu,5/17/2020,0,0,365
Honolulu,5/18/2020,0,1,578
Honolulu,5/19/2020,1,0,681
Honolulu,5/20/2020,0,0,527
Honolulu,5/21/2020,0,0,450
Honolulu,5/22/2020,0,0,448
Honolulu,5/23/2020,0,0,347
Honolulu,5/24/2020,0,0,351
Honolulu,5/25/2020,0,0,286
Honolulu,5/26/2020,0,0,482
Honolulu,5/27/2020,2,2,551
Honolulu,5/28/2020,3,3,682
Honolulu,5/29/2020,2,2,571
Honolulu,5/30/2020,0,1,393
Honolulu,5/31/2020,0,0,390
Honolulu,6/1/2020,1,1,626
Honolulu,6/2/2020,1,1,483
Honolulu,6/3/2020,1,1,656
Honolulu,6/4/2020,6,4,584
Honolulu,6/5/2020,8,10,595
Honolulu,6/6/2020,1,1,557
Honolulu,6/7/2020,1,1,435
Honolulu,6/8/2020,6,6,711
Honolulu,6/9/2020,4,5,1056
Honolulu,6/10/2020,6,6,1136
Honolulu,6/11/2020,15,4,603
Honolulu,6/12/2020,17,17,923
Honolulu,6/13/2020,4,15,757
Honolulu,6/14/2020,8,8,511
Honolulu,6/15/2020,3,4,913
Honolulu,6/16/2020,4,5,784
Honolulu,6/17/2020,18,18,1436
Honolulu,6/18/2020,24,25,1077
Honolulu,6/19/2020,4,4,833
Honolulu,6/20/2020,8,7,1049
Honolulu,6/21/2020,4,4,490
Honolulu,6/22/2020,3,3,967
Honolulu,6/23/2020,12,10,1412
Honolulu,6/24/2020,12,15,1165
Honolulu,6/25/2020,14,14,1197
Honolulu,6/26/2020,5,4,1116
Honolulu,6/27/2020,23,21,1369
Honolulu,6/28/2020,2,1,670
Honolulu,6/29/2020,16,15,1150
Honolulu,6/30/2020,5,7,1440
Honolulu,7/1/2020,17,14,1247
Honolulu,7/2/2020,25,28,1384
Honolulu,7/3/2020,19,18,893
Honolulu,7/4/2020,25,25,806
Honolulu,7/5/2020,6,9,505
Honolulu,7/6/2020,38,36,1220
Honolulu,7/7/2020,19,18,1364
Honolulu,7/8/2020,32,31,1662
Honolulu,7/9/2020,25,26,1347
Honolulu,7/10/2020,37,36,1490
Honolulu,7/11/2020,18,18,1375
Honolulu,7/12/2020,18,23,903
Honolulu,7/13/2020,19,18,1416
Honolulu,7/14/2020,26,26,1931
Honolulu,7/15/2020,19,20,1666
